action,file,cdn_url,status,notes
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw aa.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw aa.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw b.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw b.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw c.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw c.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw d.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw d.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw e.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw e.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw f.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw f.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw g.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw g.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw h.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw h.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw i.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw i.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\ibiw j.JPG,https://mbu-assets.vercel.app/img/clothing/ibiw j.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\MBU a.JPG,https://mbu-assets.vercel.app/img/clothing/MBU a.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\mbu c.JPG,https://mbu-assets.vercel.app/img/clothing/mbu c.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\mbu d.JPG,https://mbu-assets.vercel.app/img/clothing/mbu d.JPG,deleted_from_code,CDN 200; removed from code repo
